Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 02/18  10:00:00,2536791.0916753399,2043510.819381642,6635901.911056981,6635901.9110569809,0.0 
 02/18  11:00:00,2522200.393979701,2043510.819381642,6621311.2133613419,6621311.2133613419,0.0 
 02/18  12:00:00,2632321.307748997,2043510.819381642,6731432.127130637,6731432.127130637,0.0 
 02/18  13:00:00,2470179.58177632,2043510.819381642,6569290.401157962,6569290.40115796,0.0 
 02/18  14:00:00,2519227.8510832658,2043510.819381642,6618338.670464905,6618338.670464905,0.0 
 02/18  15:00:00,2477242.581032557,2043510.819381642,6576353.400414198,6576353.400414198,0.0 
 02/18  16:00:00,2551264.1469644389,2043510.819381642,6650374.96634608,6650374.96634608,0.0 
 02/18  17:00:00,2555821.8000273986,2043510.819381642,6654932.61940904,6654932.61940904,0.0 
 02/18  18:00:00,2708679.4259703119,2043510.819381642,6807790.245351952,6807790.245351952,0.0 
 02/18  19:00:00,2923570.5965399087,2043510.819381642,9211481.415921549,9211481.415921549,0.0 
 02/18  20:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/18  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/18  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/18  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/18  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/19  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/19  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/19  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/19  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/19  05:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/19  06:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/19  07:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/19  08:00:00,2836460.910528846,2043510.819381642,6935571.729910485,6935571.729910485,0.0 
 02/19  09:00:00,2582504.963662127,2043510.819381642,6681615.783043767,6681615.783043767,0.0 
 02/19  10:00:00,2551909.9624210919,2043510.819381642,6651020.781802733,6651020.7818027329,0.0 
 02/19  11:00:00,2551264.1469644389,2043510.819381642,6650374.96634608,6650374.96634608,0.0 
 02/19  12:00:00,2528196.559775986,2043510.819381642,6627307.379157625,6627307.379157625,0.0 
 02/19  13:00:00,2552592.1317279536,2043510.819381642,6651702.951109594,6651702.951109594,0.0 
 02/19  14:00:00,2529488.1906892915,2043510.819381642,6628599.010070931,6628599.010070931,0.0 
 02/19  15:00:00,2530743.4677523875,2043510.819381642,6629854.287134029,6629854.287134029,0.0 
 02/19  16:00:00,2551264.1469644389,2043510.819381642,6650374.96634608,6650374.96634608,0.0 
 02/19  17:00:00,2558644.9635838216,2043510.819381642,6657755.782965462,6657755.782965462,0.0 
 02/19  18:00:00,2732840.304125384,2043510.819381642,6831951.123507025,6831951.123507025,0.0 
 02/19  19:00:00,2923570.5965399087,2043510.819381642,9211481.415921549,9211481.415921549,0.0 
 02/19  20:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/19  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/19  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/19  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/19  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/20  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/20  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/20  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/20  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/20  05:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/20  06:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/20  07:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/20  08:00:00,2844617.2007517016,2043510.819381642,6943728.020133342,6943728.020133342,0.0 
 02/20  09:00:00,2560379.453090359,2043510.819381642,6659490.272472,6659490.272472,0.0 
 02/20  10:00:00,2551264.1469644389,2043510.819381642,6650374.96634608,6650374.9663460799,0.0 
 02/20  11:00:00,2513447.2489068659,2043510.819381642,6612558.068288507,6612558.068288506,0.0 
 02/20  12:00:00,2523066.389972973,2043510.819381642,6622177.209354613,6622177.209354613,0.0 
 02/20  13:00:00,2523066.3899729729,2043510.819381642,6622177.209354613,6622177.209354613,0.0 
 02/20  14:00:00,2524358.0208862784,2043510.819381642,6623468.840267917,6623468.840267917,0.0 
 02/20  15:00:00,2485890.690455318,2043510.819381642,6585001.509836959,6585001.509836959,0.0 
 02/20  16:00:00,2468594.4716097966,2043510.819381642,6567705.290991437,6567705.290991436,0.0 
 02/20  17:00:00,2542437.4187881846,2043510.819381642,6641548.238169825,6641548.238169825,0.0 
 02/20  18:00:00,2833557.0494322755,2043510.819381642,6932667.868813916,6932667.868813916,0.0 
 02/20  19:00:00,2923570.5965399087,2043510.819381642,9211481.415921549,9211481.415921549,0.0 
 02/20  20:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/20  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/20  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/20  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/20  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/21  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/21  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/21  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/21  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/21  05:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/21  06:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 02/21  07:00:00,2901503.2420463429,5985552.087175781,22074917.192374488,22074917.192374484,0.0 
 02/21  08:00:00,5090587.18843492,5985552.087175781,21330955.803579958,21330955.803579958,0.0 
 02/21  09:00:00,10016493.773655748,11971104.174351562,39513119.43322419,39513119.43322419,0.0 
 02/21  10:00:00,9907853.4492175,11971104.174351562,41209786.709350239,41209786.70935022,0.0 
 02/21  11:00:00,9907853.4492175,11971104.174351562,42452697.811427447,42452697.811427447,0.0 
 02/21  12:00:00,9818270.301364238,11971104.174351562,43591629.396118488,43591629.396118488,0.0 
 02/21  13:00:00,8833733.154890508,11252837.923890466,41918498.59691891,41918498.59691892,0.0 
 02/21  14:00:00,9990194.870462062,11971104.174351562,44819737.08452586,44819737.08452586,0.0 
 02/21  15:00:00,9910361.478387027,11971104.174351562,45250230.05416768,45250230.05416767,0.0 
 02/21  16:00:00,9907853.4492175,11971104.174351562,45373042.55963452,45373042.55963452,0.0 
 02/21  17:00:00,9963175.86182858,11971104.174351562,44733857.06381357,44733857.06381357,0.0 
 02/21  18:00:00,7232391.625080046,5985552.087175781,31508979.580455699,31508979.580455696,0.0 
 02/21  19:00:00,5298397.224606365,2394220.834870312,17724434.235940227,17724434.23594022,0.0 
 02/21  20:00:00,5298397.224606365,2394220.834870312,13031418.059538957,13031418.059538952,0.0 
 02/21  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/21  22:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/21  23:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 02/21  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/22  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/22  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/22  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/22  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/22  05:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/22  06:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 02/22  07:00:00,2901503.2420463429,5985552.087175781,21079774.745190089,21079774.745190085,0.0 
 02/22  08:00:00,5142868.862989506,5985552.087175781,20510745.50301514,20510745.503015136,0.0 
 02/22  09:00:00,10017710.089938391,11971104.174351562,38465528.36878384,38465528.36878384,0.0 
 02/22  10:00:00,9923833.284401646,11971104.174351562,40174923.74753797,40174923.74753796,0.0 
 02/22  11:00:00,9620390.142759296,11971104.174351562,41123586.093226809,41123586.09322681,0.0 
 02/22  12:00:00,9858116.407176786,11971104.174351562,42701149.55459187,42701149.554591868,0.0 
 02/22  13:00:00,8776146.295283506,11252837.923890466,41086118.75136673,41086118.75136673,0.0 
 02/22  14:00:00,9972779.846725315,11971104.174351562,44543106.35021381,44543106.35021381,0.0 
 02/22  15:00:00,9848084.290498678,11971104.174351562,44519614.909896139,44519614.90989613,0.0 
 02/22  16:00:00,9912869.507556554,11971104.174351562,44374003.56378523,44374003.56378523,0.0 
 02/22  17:00:00,10013482.216100606,11971104.174351562,43928368.03413037,43928368.03413037,0.0 
 02/22  18:00:00,7223131.862427066,5985552.087175781,30695299.256867976,30695299.256867965,0.0 
