Date/Time,Environment:Site Day Type Index [](Hourly),CORE_ZN:People Occupant Count [](Hourly),PERIMETER_ZN_1:People Occupant Count [](Hourly),PERIMETER_ZN_2:People Occupant Count [](Hourly),PERIMETER_ZN_3:People Occupant Count [](Hourly),PERIMETER_ZN_4:People Occupant Count [](Hourly),CORE_ZN_LIGHTS:Lights Electric Power [W](Hourly),PERIMETER_ZN_1_LIGHTS:Lights Electric Power [W](Hourly),PERIMETER_ZN_2_LIGHTS:Lights Electric Power [W](Hourly),PERIMETER_ZN_3_LIGHTS:Lights Electric Power [W](Hourly),PERIMETER_ZN_4_LIGHTS:Lights Electric Power [W](Hourly),CORE_ZN_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_1_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_2_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_3_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_4_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_1_DAYLCTRL:Daylighting Lighting Power Multiplier [](Hourly),PERIMETER_ZN_2_DAYLCTRL:Daylighting Lighting Power Multiplier [](Hourly),PERIMETER_ZN_3_DAYLCTRL:Daylighting Lighting Power Multiplier [](Hourly),PERIMETER_ZN_4_DAYLCTRL:Daylighting Lighting Power Multiplier [](Hourly),PERIMETER_ZN_1:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),PERIMETER_ZN_2:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),PERIMETER_ZN_3:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),PERIMETER_ZN_4:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),ATTIC:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),EXTERIOR_LIGHTS_A:Exterior Lights Electric Power [W](Hourly),EXTERIOR_LIGHTS_B:Exterior Lights Electric Power [W](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 05/08  14:00:00,2.0,9.021986395697072,6.8392498906959029,4.057131050188048,6.839249890695901,4.057131050188048,923.376412415335,568.1302688842351,377.8514806783173,608.9701613091793,324.5604745660677,973.5880908386652,738.042815828997,437.81649630049818,738.0428158289969,437.81649630049818,0.8116388888888889,0.9099666666666666,0.8699833333333333,0.7816277777777777,0.02082264467080702,0.0018359398723384114,0.0027529963767061718,0.0018364130293618605,0.21668012659010447,0.0,0.0,10090399.672271282,11971104.174351562 
 05/08  15:00:00,2.0,9.021986395697072,6.8392498906959029,4.057131050188048,6.839249890695901,4.057131050188048,923.376412415335,549.4719367708393,377.8514806783173,580.9826631390856,305.86790616956719,973.5880908386652,738.042815828997,437.81649630049818,738.0428158289969,437.81649630049818,0.7849833333333334,0.9099666666666666,0.83,0.736611111111111,0.02061512817832389,0.0017879539807993553,0.0026811898050206606,0.0017880780360366384,0.2120780465752188,0.0,0.0,9855181.43702332,11971104.174351562 
 05/08  16:00:00,2.0,9.021986395697072,6.8392498906959029,4.057131050188048,6.839249890695901,4.057131050188048,923.376412415335,549.4719367708393,379.9415049862561,580.9826631390856,303.7778818616282,973.5880908386652,738.042815828997,437.81649630049818,738.0428158289969,437.81649630049818,0.7849833333333334,0.915,0.83,0.7315777777777778,0.01980585562067756,0.0012199671182469179,0.0018293236805452954,0.0012199100076615475,0.20874642359747445,0.0,0.0,9855181.43702332,11971104.174351562 
 05/08  17:00:00,2.0,2.8870356466230637,2.188559965022689,1.298281936060176,2.1885599650226879,1.298281936060176,625.8440128592828,434.89970135206007,273.9362615498027,429.37258850654737,248.12525593534543,486.7940454193326,369.0214079144985,218.90824815024909,369.02140791449849,218.90824815024909,0.9166777777777778,0.9733444444444445,0.9050277777777778,0.8816333333333333,0.12696661465118765,0.00123929250164529,0.0018583332068514564,0.0012391712908771216,0.20540504955024017,0.0,0.0,7243840.152730938,5985552.087175781 
 05/08  18:00:00,2.0,0.992418503526678,0.7523174879765494,0.4462844155206854,0.7523174879765491,0.4462844155206854,430.90899246048977,309.242475728188,193.77708815328183,303.7927494623036,168.90795196756538,194.717618167733,147.6085631657994,87.56329926009961,147.60856316579939,87.56329926009961,0.9466888888888888,1.0,0.9300055555555556,0.8716611111111111,0.020723636795871957,0.0016420508208890538,0.0024608424304565855,0.0016432876368497132,0.2031562572786871,0.0,0.0,5063865.327978583,2394220.834870312 
 05/08  19:00:00,2.0,0.992418503526678,0.7523174879765494,0.4462844155206854,0.7523174879765491,0.4462844155206854,430.90899246048977,326.65691903402418,193.77708815328183,326.65691903402407,193.77708815328183,194.717618167733,147.6085631657994,87.56329926009961,147.60856316579939,87.56329926009961,1.0,1.0,1.0,1.0,0.010416145007717119,0.006936652190420562,0.010398109359885076,0.00694168828144683,0.20042781447930625,0.0,0.0,5298397.224606365,2394220.834870312 
 05/08  20:00:00,2.0,0.992418503526678,0.7523174879765494,0.4462844155206854,0.7523174879765491,0.4462844155206854,328.31161330323035,248.88146212116127,147.63968621202427,248.88146212116116,147.63968621202427,194.717618167733,147.6085631657994,87.56329926009961,147.60856316579939,87.56329926009961,1.0,1.0,1.0,1.0,0.01045085591052535,0.006958826227254379,0.010430973259295533,0.006961546767500407,0.19755863455548199,50.699999999999999,861.3000000000001,4036874.0758905645,2394220.834870312 
 05/08  21:00:00,2.0,0.992418503526678,0.7523174879765494,0.4462844155206854,0.7523174879765491,0.4462844155206854,328.31161330323035,248.88146212116127,147.63968621202427,248.88146212116116,147.63968621202427,194.717618167733,147.6085631657994,87.56329926009961,147.60856316579939,87.56329926009961,1.0,1.0,1.0,1.0,0.012048041742597346,0.008019578991056527,0.012020418381782044,0.008020726705348796,0.19904805216809688,50.699999999999999,861.3000000000001,4036874.0758905645,2394220.834870312 
 05/08  22:00:00,2.0,0.4510993197848537,0.34196249453479518,0.20285655250940247,0.34196249453479507,0.20285655250940247,235.97397206169675,178.88355089958464,106.11602446489245,178.8835508995846,106.11602446489245,194.717618167733,147.6085631657994,87.56329926009961,147.60856316579939,87.56329926009961,1.0,1.0,1.0,1.0,0.013156573038385529,0.008759733833527775,0.01312989751795004,0.008760114479202582,0.1988499970457561,50.699999999999999,861.3000000000001,2901503.2420463429,2394220.834870312 
 05/08  23:00:00,2.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,166.19501161075616,125.98658046471663,74.73686086624442,125.98658046471657,74.73686086624442,1.0,1.0,1.0,1.0,0.01317239901296159,0.008772282564322339,0.013148923083088396,0.008772223340074636,0.19853912483332049,50.699999999999999,861.3000000000001,2923570.5965399087,2043510.819381642 
