Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 05/26  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/26  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/26  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/26  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/26  05:00:00,3735673.540023218,5108777.048454104,12347034.588477321,12347034.58847732,0.0 
 05/26  06:00:00,2850615.688820682,5985552.087175781,16782375.027234477,16782375.027234477,0.0 
 05/26  07:00:00,4786238.118133337,5985552.087175781,19071721.962010504,19071721.962010504,0.0 
 05/26  08:00:00,9560536.165945668,11971104.174351562,29477847.59159752,29477847.591597517,0.0 
 05/26  09:00:00,9359927.915103808,11971104.174351562,29733465.518434969,29733465.518434977,0.0 
 05/26  10:00:00,9317573.780121735,11971104.174351562,31034578.630094608,31034578.63009461,0.0 
 05/26  11:00:00,9227849.451818534,11971104.174351562,32647854.410028057,32647854.41002806,0.0 
 05/26  12:00:00,8396769.289979356,11252837.923890466,30708943.563817659,30708943.563817659,0.0 
 05/26  13:00:00,9464758.798348014,11971104.174351562,34546860.417700339,34546860.417700339,0.0 
 05/26  14:00:00,9225341.422649006,11971104.174351562,34538700.69505061,34538700.69505061,0.0 
 05/26  15:00:00,9225341.422649006,11971104.174351562,34953989.4269561,34953989.42695612,0.0 
 05/26  16:00:00,9320081.809291263,11971104.174351562,35058005.55726706,35058005.55726707,0.0 
 05/26  17:00:00,6391016.860051458,5985552.087175781,22684649.928075065,22684649.928075065,0.0 
 05/26  18:00:00,4697347.767999419,2394220.834870312,15037775.854170025,15037775.854170025,0.0 
 05/26  19:00:00,5151217.445066129,2394220.834870312,9601038.279998718,9601038.279998716,0.0 
 05/26  20:00:00,4036874.0758905645,2394220.834870312,10128294.910823154,10128294.910823152,0.0 
 05/26  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 05/26  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 05/26  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/26  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
