Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 03/08  16:00:00,10038154.60106104,11971104.174351562,37856467.72479884,37856467.72479884,0.0 
 03/08  17:00:00,11132940.232593358,11971104.174351562,39686565.565862398,39686565.565862398,0.0 
 03/08  18:00:00,7695291.207166387,5985552.087175781,40902666.408963378,40902666.40896337,570664.390579462 
 03/08  19:00:00,5298397.224606365,2394220.834870312,36882787.25111956,36882787.251119557,3879735.7910461018 
 03/08  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 03/08  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 03/08  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 03/08  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 03/08  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 03/09  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/09  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/09  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/09  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/09  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/09  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 03/09  07:00:00,2901503.2420463429,5985552.087175781,38550994.629620987,38550994.62962098,16077020.200270383 
 03/09  08:00:00,5219172.118595967,5985552.087175781,44367514.78512336,44367514.785123359,21758347.43419292 
 03/09  09:00:00,10359297.422555799,11971104.174351562,46363715.138099167,46363715.138099167,3085843.484368032 
 03/09  10:00:00,10040377.974114912,11971104.174351562,43898885.77195563,43898885.77195563,793929.2159960538 
 03/09  11:00:00,9522019.927897308,11971104.174351562,40208358.16489662,40208358.16489662,0.0 
 03/09  12:00:00,9313650.787446147,11971104.174351562,37083753.47056424,37083753.470564249,0.0 
 03/09  13:00:00,8406430.854079495,11252837.923890466,40367475.25208752,40367475.25208752,0.0 
 03/09  14:00:00,9467266.827517542,11971104.174351562,36566869.78359407,36566869.78359408,0.0 
 03/09  15:00:00,9619743.138707968,11971104.174351562,36834435.25496771,36834435.25496771,0.0 
 03/09  16:00:00,10269696.34487177,11971104.174351562,37934380.28091417,37934380.280914168,0.0 
 03/09  17:00:00,11132940.232593358,11971104.174351562,39060948.63412558,39060948.63412558,0.0 
 03/09  18:00:00,7695291.207166387,5985552.087175781,39699739.73251728,39699739.73251727,0.0 
 03/09  19:00:00,5298397.224606365,2394220.834870312,35197663.498614307,35197663.4986143,1584116.037720255 
 03/09  20:00:00,5298397.224606365,2394220.834870312,13931418.059538957,13931418.059538952,0.0 
 03/09  21:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 03/09  22:00:00,4036874.0758905645,2394220.834870312,12669894.910823152,12669894.910823152,0.0 
 03/09  23:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 03/09  24:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 03/10  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/10  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/10  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/10  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/10  05:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 03/10  06:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 03/10  07:00:00,2901503.2420463429,5985552.087175781,37990237.478954229,37990237.47895422,13543743.924669331 
 03/10  08:00:00,5149612.25670909,5985552.087175781,43762466.41555664,43762466.41555663,20344375.886322153 
 03/10  09:00:00,9824294.607271953,11971104.174351562,44027612.24115558,44027612.24115558,2256743.869020688 
 03/10  10:00:00,9586805.144955183,11971104.174351562,41315554.2061133,41315554.2061133,418758.7959409712 
 03/10  11:00:00,9524527.957066834,11971104.174351562,40538360.06706775,40538360.06706775,0.0 
 03/10  12:00:00,9452218.65250038,11971104.174351562,38622744.08344379,38622744.0834438,0.0 
