Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/01  10:00:00,2755131.8266941818,2043510.819381642,6854242.6460758219,6854242.6460758219,0.0 
 04/01  11:00:00,2701286.0025944656,2043510.819381642,6800396.821976106,6800396.821976105,0.0 
 04/01  12:00:00,2487649.5180717834,2043510.819381642,6586760.337453423,6586760.337453423,0.0 
 04/01  13:00:00,2524309.060279605,2043510.819381642,6623419.879661246,6623419.879661245,0.0 
 04/01  14:00:00,2502105.3496876845,2043510.819381642,6601216.169069324,6601216.169069324,0.0 
 04/01  15:00:00,2484131.578452035,2043510.819381642,6583242.397833675,6583242.397833674,0.0 
 04/01  16:00:00,2550021.192270987,2043510.819381642,6649132.011652629,6649132.011652628,0.0 
 04/01  17:00:00,2633089.382528923,2043510.819381642,6732200.201910563,6732200.201910563,0.0 
 04/01  18:00:00,2872296.018526521,2043510.819381642,6971406.837908163,6971406.837908162,0.0 
 04/01  19:00:00,2923570.5965399087,2043510.819381642,7569881.415921549,7569881.415921548,0.0 
 04/01  20:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/01  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/01  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/01  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/01  24:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/02  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/02  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/02  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/02  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/02  05:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/02  06:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
